Date,Region,Service_Type,Network_Traffic,Latency (ms),Packet_Loss (%)
01-01-2022,North America,Internet,48.6583659,149.9440078,0.005880872
02-01-2022,North America,Internet,39.53476499,55.09356703,0.057575285
03-01-2022,North America,Internet,61.61031828,111.2801707,0.018613017
04-01-2022,North America,Internet,90.52115708,74.30895404,0.000924799
05-01-2022,North America,Internet,91.30177895,97.91313017,0.092775308
06-01-2022,North America,Internet,52.68381796,80.23996115,0.053714042
07-01-2022,North America,Internet,55.25249601,76.44742075,0.009244818
08-01-2022,North America,Internet,34.06645232,77.19607398,0.084292111
09-01-2022,North America,Internet,39.05784014,135.0997231,0.098320274
10-01-2022,North America,Internet,60.47934725,97.34023155,0.044860066
11-01-2022,North America,Internet,74.09560877,84.68595611,0.004248961
12-01-2022,North America,Internet,91.70334463,111.1157393,0.011754594
13-01-2022,North America,Internet,74.59178796,100.2069863,0.038165375
14-01-2022,North America,Internet,51.48252311,114.4006752,0.088552264
15-01-2022,North America,Internet,44.52111189,63.51486688,0.014803868
16-01-2022,North America,Internet,47.91647152,106.0720781,0.082399009
17-01-2022,North America,Internet,75.7900511,115.4538967,0.001497626
18-01-2022,North America,Internet,75.06464534,66.76803418,0.04573887
19-01-2022,North America,Internet,84.73646091,108.9639057,0.064439714
20-01-2022,North America,Internet,62.86871439,133.9236315,0.006037948
21-01-2022,North America,Internet,29.14619495,99.70284593,0.061476275
22-01-2022,North America,Internet,51.01002243,116.4281187,0.094440412
23-01-2022,North America,Internet,57.59546717,113.411409,0.016025992
24-01-2022,North America,Internet,57.77799633,85.84988605,0.072961138
25-01-2022,North America,Internet,104.142165,100.7953347,0.06090939
26-01-2022,North America,Internet,71.36752456,68.66010578,0.018511639
27-01-2022,North America,Internet,76.1486697,90.97393926,0.000620341
28-01-2022,North America,Internet,57.06069855,105.3137595,0.000928445
29-01-2022,North America,Internet,64.03212702,114.4620099,0.053209241
30-01-2022,North America,Internet,67.84827668,100.4922425,0.094277941
31-01-2022,North America,Internet,70.92482891,114.3996746,0.064429863
01-02-2022,North America,Internet,89.37312362,77.94187574,0.071429985
02-02-2022,North America,Internet,81.15043067,97.96605451,0.049386549
03-02-2022,North America,Internet,59.96951847,100.3855877,0.058188894
04-02-2022,North America,Internet,59.5081796,136.9918249,0.012636753
05-02-2022,North America,Internet,54.29003704,95.71666688,0.087682062
06-02-2022,North America,Internet,69.44634937,90.01966724,0.076079263
07-02-2022,North America,Internet,85.35355041,100.4270245,0.099819895
08-02-2022,North America,Internet,85.63738396,81.6177311,0.029772295
09-02-2022,North America,Internet,90.888294,103.855077,0.022701777
10-02-2022,North America,Internet,73.13800041,92.69889567,0.012516166
11-02-2022,North America,Internet,52.59532705,64.17344904,0.096420976
12-02-2022,North America,Internet,39.43336529,98.82826898,0.078088518
13-02-2022,North America,Internet,80.3811984,93.64913812,0.016632461
14-02-2022,North America,Internet,71.92289329,67.35153396,0.055268647
15-02-2022,North America,Internet,88.77842481,98.65731691,0.041376821
16-02-2022,North America,Internet,84.98993951,129.7871192,0.015148601
17-02-2022,North America,Internet,94.96227696,110.426075,0.016207299
18-02-2022,North America,Internet,54.17687151,112.2385439,0.096346999
19-02-2022,North America,Internet,57.84474956,73.17006549,0.030496418
20-02-2022,North America,Internet,55.34986011,109.5379674,0.094143929
21-02-2022,North America,Internet,84.27378528,102.9689916,0.007561067
22-02-2022,North America,Internet,91.39000696,110.5809048,0.046080304
23-02-2022,North America,Internet,89.00330224,108.4525724,0.012961905
24-02-2022,North America,Internet,90.14943168,72.80438549,0.000478739
25-02-2022,North America,Internet,77.79452214,99.17198377,0.055376607
26-02-2022,North America,Internet,63.7834886,84.84258279,0.01138941
27-02-2022,North America,Internet,70.42557154,98.99831811,0.072202453
28-02-2022,North America,Internet,77.10739606,82.05198146,0.069811638
01-03-2022,North America,Internet,95.8654152,126.2494073,0.017633291
02-03-2022,North America,Internet,97.02809708,82.82055223,0.094174214
03-03-2022,North America,Internet,89.72652121,82.02115687,0.072104341
04-03-2022,North America,Internet,68.21768879,101.4917281,0.029797026
05-03-2022,North America,Internet,48.64003144,78.45801861,0.070923376
06-03-2022,North America,Internet,71.90570738,91.50673395,0.073193028
07-03-2022,North America,Internet,82.10892875,83.40070805,0.034222633
08-03-2022,North America,Internet,85.81198377,128.2234413,0.037558856
09-03-2022,North America,Internet,110.9461916,115.7160765,0.035910651
10-03-2022,North America,Internet,86.75878801,98.85060963,0.061661844
11-03-2022,North America,Internet,79.32191662,92.17565896,0.090041015
12-03-2022,North America,Internet,75.5902239,118.8183523,0.017319324
13-03-2022,North America,Internet,73.76046008,108.1040816,0.087519961
14-03-2022,North America,Internet,99.80224554,109.9610481,0.002765316
15-03-2022,North America,Internet,91.98913366,99.47615525,0.06603386
16-03-2022,North America,Internet,112.5067598,66.23539944,0.041443887
17-03-2022,North America,Internet,91.08983785,97.75068035,0.079128155
18-03-2022,North America,Internet,72.14151144,89.35020162,0.072119811
19-03-2022,North America,Internet,64.49837303,112.9011055,0.048010781
20-03-2022,North America,Internet,71.28288375,120.2368487,0.064386404
21-03-2022,North America,Internet,90.83761022,86.8409791,0.050177313
22-03-2022,North America,Internet,94.49328264,109.3677047,0.081151847
23-03-2022,North America,Internet,119.2384175,134.71758,0.047608399
24-03-2022,North America,Internet,104.2805594,86.64574559,0.052315599
25-03-2022,North America,Internet,67.11201417,133.6384348,0.025052059
26-03-2022,North America,Internet,86.73313465,82.94828306,0.060504302
27-03-2022,North America,Internet,94.85963995,100.4591951,0.030290481
28-03-2022,North America,Internet,103.5045271,99.77708776,0.057728401
29-03-2022,North America,Internet,105.7246003,100.229978,0.016967812
30-03-2022,North America,Internet,100.839863,83.24643916,0.015946909
31-03-2022,North America,Internet,111.4237519,88.17633792,0.041702974
01-04-2022,North America,Internet,79.63595695,86.64559427,0.042681952
02-04-2022,North America,Internet,85.20624544,106.5392519,0.026810926
03-04-2022,North America,Internet,79.05253599,106.6007023,0.013159685
04-04-2022,North America,Internet,102.4899835,144.5188866,0.003921054
05-04-2022,North America,Internet,112.0321843,127.4197801,0.002523183
06-04-2022,North America,Internet,119.495607,89.80313516,0.027155029
07-04-2022,North America,Internet,101.8045586,106.4973923,0.046185344
08-04-2022,North America,Internet,102.2846341,119.9423596,0.072624328
09-04-2022,North America,Internet,74.94705731,100.6120365,0.04748717
10-04-2022,North America,Internet,81.62383861,98.60716843,0.090405082
11-04-2022,North America,Internet,112.1273726,101.0314989,0.00352198
12-04-2022,North America,Internet,95.50143093,117.3455326,0.018066062
13-04-2022,North America,Internet,100.1738886,83.03358954,0.033851449
14-04-2022,North America,Internet,111.7809021,93.48661062,0.057749619
15-04-2022,North America,Internet,73.02075504,109.4086629,0.085273616
16-04-2022,North America,Internet,93.37907928,106.2289414,0.035020195
17-04-2022,North America,Internet,73.67176339,104.7916552,0.026798868
18-04-2022,North America,Internet,85.964627,92.60397667,0.006188917
19-04-2022,North America,Internet,128.2912946,119.4507158,0.082130348
20-04-2022,North America,Internet,127.7065426,142.6773649,0.037966644
21-04-2022,North America,Internet,120.7252619,108.1283099,0.05715502
22-04-2022,North America,Internet,93.71554964,96.13646597,0.098355542
23-04-2022,North America,Internet,65.1744145,115.1148058,0.000159457
24-04-2022,North America,Internet,96.69342742,89.21734726,0.014545014
25-04-2022,North America,Internet,90.48533515,85.00619311,0.077911099
26-04-2022,North America,Internet,116.7543668,100.656175,0.080512749
27-04-2022,North America,Internet,121.9839605,48.34406734,0.076924712
28-04-2022,North America,Internet,100.0521353,76.92099273,0.053699889
29-04-2022,North America,Internet,90.29139553,93.04076288,0.097885698
30-04-2022,North America,Internet,82.44760573,72.93222284,0.039618456
01-05-2022,North America,Internet,80.73972057,79.34713796,0.06019437
02-05-2022,North America,Internet,81.4983355,91.26503325,0.0063369
03-05-2022,North America,Internet,110.9839303,67.14069413,0.040985745
04-05-2022,North America,Internet,124.9923169,91.87856407,0.072250009
05-05-2022,North America,Internet,93.81936276,89.29459671,0.023873884
06-05-2022,North America,Internet,81.76338218,100.5081042,0.094382759
07-05-2022,North America,Internet,67.9299984,123.0836806,0.068678337
08-05-2022,North America,Internet,94.47153085,103.4500883,0.028757538
09-05-2022,North America,Internet,98.16673252,100.4212404,0.076899892
10-05-2022,North America,Internet,110.9762169,101.9890891,0.008316477
11-05-2022,North America,Internet,102.8785662,104.5478555,0.097477442
12-05-2022,North America,Internet,104.9566468,79.66522703,0.004928526
13-05-2022,North America,Internet,75.26599932,97.7044935,0.093345589
14-05-2022,North America,Internet,71.30057776,106.1750248,0.025285388
15-05-2022,North America,Internet,68.2729805,72.58480035,0.075782411
16-05-2022,North America,Internet,96.81315888,117.3130585,7.37E-06
17-05-2022,North America,Internet,111.2257388,121.6275207,0.025424009
